dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,metric_type,transaction_count,transaction_amount
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,delhi,TOTAL,12822,9655261.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,uttarakhand,TOTAL,2607,2719327.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,puducherry,TOTAL,526,508277.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,tamil nadu,TOTAL,17682,16444344.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,uttar pradesh,TOTAL,25952,25137571.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,madhya pradesh,TOTAL,14803,9787391.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,andhra pradesh,TOTAL,33205,22730687.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,tripura,TOTAL,381,409934.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,lakshadweep,TOTAL,5,6962.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,manipur,TOTAL,127,81332.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,maharashtra,TOTAL,70381,46763103.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,dadra & nagar haveli & daman & diu,TOTAL,368,275638.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,meghalaya,TOTAL,139,148434.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,andaman & nicobar islands,TOTAL,137,181504.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,haryana,TOTAL,12516,11272453.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,rajasthan,TOTAL,18281,14357445.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,ladakh,TOTAL,46,86251.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,punjab,TOTAL,4047,3768919.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,assam,TOTAL,3265,3008122.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,jharkhand,TOTAL,5180,5084230.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,odisha,TOTAL,7942,5832924.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,bihar,TOTAL,14301,13301581.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,kerala,TOTAL,9530,9676588.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,karnataka,TOTAL,40969,39501006.0
map,insurance,hover,india,country,,2021,2,,,True,SUCCESS,1692611001558,data\map\insurance\hover\country\india\2021\2.json,state,chandigarh,TOTAL,378,310943.0
