dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,transaction_type,payment_instrument_type,transaction_count,transaction_amount
aggregated,insurance,,india,state,arunachal-pradesh,2021,1,1609439400000,1616869800000,True,SUCCESS,1692610994715,data\aggregated\insurance\country\india\state\arunachal-pradesh\2021\1.json,Insurance,TOTAL,194,131611.0
aggregated,insurance,,india,state,arunachal-pradesh,2021,2,1617215400000,1624818600000,True,SUCCESS,1692611047001,data\aggregated\insurance\country\india\state\arunachal-pradesh\2021\2.json,Insurance,TOTAL,204,224928.0
aggregated,insurance,,india,state,arunachal-pradesh,2021,3,1625077800000,1632767400000,True,SUCCESS,1692611098461,data\aggregated\insurance\country\india\state\arunachal-pradesh\2021\3.json,Insurance,TOTAL,212,371051.0
aggregated,insurance,,india,state,arunachal-pradesh,2021,4,1633026600000,1640629800000,True,SUCCESS,1692611149983,data\aggregated\insurance\country\india\state\arunachal-pradesh\2021\4.json,Insurance,TOTAL,320,598459.0
aggregated,insurance,,india,state,arunachal-pradesh,2022,1,1640975400000,1648405800000,True,SUCCESS,1692611201546,data\aggregated\insurance\country\india\state\arunachal-pradesh\2022\1.json,Insurance,TOTAL,355,894107.0
aggregated,insurance,,india,state,arunachal-pradesh,2022,2,1648751400000,1656354600000,True,SUCCESS,1692611252951,data\aggregated\insurance\country\india\state\arunachal-pradesh\2022\2.json,Insurance,TOTAL,564,1360231.0
aggregated,insurance,,india,state,arunachal-pradesh,2022,3,1656613800000,1664303400000,True,SUCCESS,1692611304678,data\aggregated\insurance\country\india\state\arunachal-pradesh\2022\3.json,Insurance,TOTAL,510,1300304.0
aggregated,insurance,,india,state,arunachal-pradesh,2022,4,1664562600000,1672165800000,True,SUCCESS,1692611356648,data\aggregated\insurance\country\india\state\arunachal-pradesh\2022\4.json,Insurance,TOTAL,613,1464572.0
aggregated,insurance,,india,state,arunachal-pradesh,2023,1,1672511400000,1679941800000,True,SUCCESS,1692619201919,data\aggregated\insurance\country\india\state\arunachal-pradesh\2023\1.json,Insurance,TOTAL,606,1747475.0
aggregated,insurance,,india,state,arunachal-pradesh,2023,2,1680287400000,1687890600000,True,SUCCESS,1692619383129,data\aggregated\insurance\country\india\state\arunachal-pradesh\2023\2.json,Insurance,TOTAL,696,2095988.0
