dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,rank,registered_users
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,telangana,5,7963425
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,rajasthan,6,7712204
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,west bengal,7,7449425
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,gujarat,8,6652536
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,madhya pradesh,9,6414403
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,tamil nadu,10,6296303
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,bengaluru urban,1,5003207
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,pune,2,3038402
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,jaipur,3,2060175
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,mumbai suburban,4,1901210
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,thane,5,1834051
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,hyderabad,6,1638436
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,rangareddy,7,1470874
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,ahmadabad,8,1450100
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,medchal malkajgiri,9,1279531
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,district,surat,10,1180819
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,201301,1,301260
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,110059,2,246566
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,560068,3,237280
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,500072,4,221180
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,110092,5,206805
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,122001,6,194366
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,110086,7,158267
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,560078,8,157977
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,395006,9,157558
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,pincode,560076,10,157367
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,maharashtra,1,18776975
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,uttar pradesh,2,14316349
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,karnataka,3,11968087
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,andhra pradesh,4,9389003
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,telangana,5,9046007
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,rajasthan,6,8783935
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,west bengal,7,8612795
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,gujarat,8,7574645
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,tamil nadu,9,7429609
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,state,madhya pradesh,10,7301172
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,bengaluru urban,1,5694165
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,pune,2,3514081
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,jaipur,3,2290462
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,mumbai suburban,4,2151657
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,thane,5,2118406
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,hyderabad,6,1856926
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,ahmadabad,7,1656341
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,rangareddy,8,1651300
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,medchal malkajgiri,9,1428880
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,district,surat,10,1338584
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,201301,1,336709
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,110059,2,274593
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,560068,3,263531
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,500072,4,242007
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,110092,5,228546
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,122001,6,217913
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,421302,7,182371
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,395006,8,180042
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,560078,9,178837
top,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\2.json,pincode,110086,10,177199
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,maharashtra,1,21313081
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,uttar pradesh,2,16044607
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,karnataka,3,13635075
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,andhra pradesh,4,10458693
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,telangana,5,10090557
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,rajasthan,6,9797304
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,west bengal,7,9643222
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,gujarat,8,8429299
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,tamil nadu,9,8428835
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,state,madhya pradesh,10,8180664
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,bengaluru urban,1,6383771
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,pune,2,4004991
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,jaipur,3,2520933
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,mumbai suburban,4,2407754
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,thane,5,2396815
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,hyderabad,6,2071673
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,ahmadabad,7,1848860
top,user,,india,country,,2019,3,,,True,SUCCESS,1630501482796,data\top\user\country\india\2019\3.json,district,rangareddy,8,1826019
